Marca_Temporal,Ciudad,Barrio,Tipo_Vivienda,Integrantes_Familia,Tipo_Mascotas,Perros_Macho,Perros_Hembra,Gatos_Macho,Gatos_Hembra,Mascota_Castrada,Donde_Castracion,Sabe_Castracion_Gratuita,Vacunadas,Desparasitadas,Sabe_Vacunas_Anuales,Como_Viven_Mascotas,Frecuencia_Callejeros,Animal_Perdido_Frecuente,Municipio_Presente,Humano_Responsable,Mascota_Gatos,Mascota_Perros,Vive_Salen_solos_a_la_calle,Vive_Tienen_identificador,Vive_Viven_dentro_de_su_hogar,CastEn_En_forma_particular,CastEn_Municipio,CastEn_No_se_encuentra_castrada.,Mun_Castraciones_Masivas,Mun_Control_de_identificación,Mun_Educación,Mun_No_es_necesaria_la_participación_del_municipio
2026-03-11 22:08:13,San Francisco,El Prado,Casa Propia,1.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,0,1,0,0,1,0,1,0,1,0,1,0
2026-03-11 22:13:32,San Francisco,Cotolengo,Casa Propia,5.0,Perros,,2.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Control de identificación,Si,0,1,0,0,1,0,1,0,0,1,0,0
2026-03-11 22:13:42,San Francisco,El Prado,Casa Propia,4.0,Gatos;Perros,1.0,,,2.0,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,1,0,0,1,0,1,0,1,1,1,0
2026-03-11 22:14:06,San Francisco,Magdalena,Casa Propia,4.0,Perros,1.0,,,,No,No se encuentra castrada.,Si,Si,Si,No,Salen solos a la calle;Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Castraciones Masivas;Educación,Si,0,1,1,0,1,0,0,1,1,0,1,0
2026-03-11 22:20:34,San Francisco,Chalet,Casa En Alquiler,5.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Educación,Un Poco,0,1,0,0,1,0,1,0,0,0,1,0
2026-03-11 22:22:47,San Francisco,El Prado,Casa Propia,3.0,Perros,3.0,,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación,Si,0,1,0,0,1,0,0,1,1,1,0,0
2026-03-11 22:25:00,San Francisco,20 De Junio,Casa Propia,3.0,Perros,2.0,,,2.0,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Nunca,Gatos,Control de identificación,Si,0,1,0,0,1,0,1,0,0,1,0,0
2026-03-11 22:25:40,Otra,Otro,Casa Propia,2.0,Perros,1.0,,,,No,No se encuentra castrada.,Si,Si,Si,No,Salen solos a la calle;Viven dentro de su hogar,Todo El Tiempo,Perros,Control de identificación;Educación,Si,0,1,1,0,1,0,0,1,0,1,1,0
2026-03-11 22:27:24,San Francisco,Consolata,Casa Propia,3.0,Gatos;Perros,,2.0,,1.0,Si,En forma particular;Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,1,1,0,0,1,1,1,0,1,0,1,0
2026-03-11 22:28:07,San Francisco,Maipú,Casa Propia,4.0,Perros,1.0,1.0,,,Si,En forma particular;Municipio,Si,Si,Si,No,Tienen identificador;Viven dentro de su hogar,Nunca,Perros,Castraciones Masivas;Control de identificación,Si,0,1,0,1,1,1,1,0,1,1,0,0
2026-03-11 22:28:08,San Francisco,El Prado,Casa Propia,4.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,A Veces,Perros,Educación,Si,0,1,0,0,1,0,1,0,0,0,1,0
2026-03-11 22:32:08,San Francisco,Cotolengo,Casa Propia,4.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,1,0,0,1,1,1,0
2026-03-11 22:40:08,San Francisco,Sarmiento,Casa Propia,2.0,Gatos;Perros,,1.0,,1.0,Si,En forma particular,Si,Si,Si,No,Tienen identificador;Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,1,0,1,1,1,0,0,1,1,1,0
2026-03-11 22:40:31,San Francisco,Roca,Casa En Alquiler,1.0,Perros,1.0,2.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Educación,Si,0,1,0,0,1,0,1,0,0,0,1,0
2026-03-11 22:45:49,San Francisco,Vélez Sársfield,Casa Propia,4.0,Perros,1.0,1.0,,,Si,Municipio,Si,Si,Si,No,Tienen identificador;Viven dentro de su hogar,A Veces,Perros,Control de identificación,Un Poco,0,1,0,1,1,0,1,0,0,1,0,0
2026-03-11 22:50:18,San Francisco,Dos Hermanos,Casa Propia,3.0,Perros,,2.0,,,Si,Municipio,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,1,1,0,1,0,1,1,1,0
2026-03-11 23:05:47,San Francisco,Roca,Departamento Propio,2.0,Gatos,,,1.0,1.0,Si,En forma particular,Si,Si,Si,Si,Salen solos a la calle,Todo El Tiempo,Perros,Castraciones Masivas;Educación,Si,1,0,1,0,0,1,0,0,1,0,1,0
2026-03-11 23:22:12,San Francisco,Independencia,Casa Propia,4.0,Gatos,,,,1.0,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,Nunca,Perros,Educación,Si,1,0,0,0,1,1,0,0,0,0,1,0
2026-03-11 23:28:54,San Francisco,Roca,Departamento En Alquiler,2.0,Gatos,,,,1.0,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos,Castraciones Masivas,Si,1,0,0,0,1,1,0,0,1,0,0,0
2026-03-12 00:51:32,San Francisco,Consolata,Casa Propia,3.0,Gatos,,,1.0,,Si,En forma particular,Si,Si,Si,No,Salen solos a la calle;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Educación,Si,1,0,1,0,1,1,0,0,1,0,1,0
